Mandante	Material	Sales Organization	Distribution Channel	Grid Value	Core Assortment Start Date	Core Collection Start Date	Core Assortment End Date	Core Collection End Date
100	103689			FLL5818		01/02/2021		31/08/2021
100	103689			R805818		01/02/2021		31/08/2021
100	103690			0035219		01/02/2021		31/08/2021
100	103690			79U5219		01/02/2021		31/08/2021
100	103690			KB75219		01/02/2021		31/08/2021
100	103690			PJP5219		01/02/2021		31/08/2021
100	103691			0865021		01/02/2021		31/08/2021
100	103691			8075021		01/02/2021		31/08/2021
100	103692			0865419		01/02/2021		31/08/2021
100	103692			8075419		01/02/2021		31/08/2021
100	103692			YZ45419		01/02/2021		31/08/2021
100	103693			0035620		01/02/2021		31/08/2021
100	103693			FLL5620		01/02/2021		31/08/2021
100	103693			R805620		01/02/2021		31/08/2021
100	103694			8075519		01/02/2021		31/08/2021
100	103695			R805519		01/02/2021		31/08/2021
100	103696			8075317		01/02/2021		31/08/2021
100	103696			LHF5317		01/02/2021		31/08/2021
100	103698			8075216		01/02/2021		31/08/2021
100	103698			PJP5216		01/02/2021		31/08/2021
100	103699			2M25319		01/02/2021		31/08/2021
100	103699			IBJ5319		01/02/2021		31/08/2021
100	103702			2M25418		01/02/2021		31/08/2021
100	103702			G1C5418		01/02/2021		31/08/2021
100	103702			IBJ5418		01/02/2021		31/08/2021
100	103703			8075118		01/02/2021		31/08/2021
100	203326			00352UC		01/02/2021		31/08/2021
100	203326			80752M9		01/02/2021		31/08/2021
100	100343			10A5317		01/02/2021		31/08/2021
100	100343			35J5317		01/02/2021		31/08/2021
100	100343			5CB5317		01/02/2021		31/08/2021
100	100343			7895317		01/02/2021		31/08/2021
100	101151			0035319		01/02/2021		31/08/2021
100	101556			10A4917		01/02/2021		31/08/2021
100	101556			B3V4917		01/02/2021		31/08/2021
100	103868			DDB5420		01/02/2021		31/08/2021
100	103868			PEF5420		01/02/2021		31/08/2021
100	103868			V815420		01/02/2021		31/08/2021
100	103869			J5G5519		01/02/2021		31/08/2021
100	104131			QWU5119		01/02/2021		31/08/2021
100	104135			0865018		01/02/2021		31/08/2021
100	104135			9005018		01/02/2021		31/08/2021
100	104136			PJP5216		01/02/2021		31/08/2021
100	104137			35J5414		01/02/2021		31/08/2021
100	104137			MVU5414		01/02/2021		31/08/2021
100	104138			0865115		01/02/2021		31/08/2021
100	103868			RHL5420		01/02/2021		31/08/2021
100	103869			0105519		01/02/2021		31/08/2021
100	103869			R815519		01/02/2021		31/08/2021
100	103869			V815519		01/02/2021		31/08/2021
100	104129			26S5614		01/02/2021		31/08/2021
100	104130			0105418		01/02/2021		31/08/2021
100	104130			J5G5418		01/02/2021		31/08/2021
100	104130			KJ15418		01/02/2021		31/08/2021
100	104130			RZZ5418		01/02/2021		31/08/2021
100	104131			0105119		01/02/2021		31/08/2021
100	104131			0105319		01/02/2021		31/08/2021
100	104131			J5G5119		01/02/2021		31/08/2021
100	104131			J5G5319		01/02/2021		31/08/2021
100	104131			QWU5319		01/02/2021		31/08/2021
100	104132			09Q5519		01/02/2021		31/08/2021
100	104132			8075519		01/02/2021		31/08/2021
100	104132			KB75519		01/02/2021		31/08/2021
100	104133			35J5121		01/02/2021		31/08/2021
100	104133			8075121		01/02/2021		31/08/2021
100	104135			8075018		01/02/2021		31/08/2021
100	104136			0865216		01/02/2021		31/08/2021
100	104136			8075216		01/02/2021		31/08/2021
100	104137			0865414		01/02/2021		31/08/2021
100	104137			8075414		01/02/2021		31/08/2021
100	104138			10A5115		01/02/2021		31/08/2021
100	104138			7335115		01/02/2021		31/08/2021
100	104138			8075115		01/02/2021		31/08/2021
100	104139			0865317		01/02/2021		31/08/2021
100	104139			8075317		01/02/2021		31/08/2021
100	104139			KB75317		01/02/2021		31/08/2021
100	104141			8075516		01/02/2021		31/08/2021
100	104141			D515516		01/02/2021		31/08/2021
100	104141			PHW5516		01/02/2021		31/08/2021
100	104144			65T5416		01/02/2021		31/08/2021
100	104144			8075416		01/02/2021		31/08/2021
100	104144			VY55416		01/02/2021		31/08/2021
100	104145			65T5314		01/02/2021		31/08/2021
100	104145			8075314		01/02/2021		31/08/2021
100	200395			1X251KL		01/02/2021		31/08/2021
100	200395			71C510F		01/02/2021		31/08/2021
100	200395			OY451C3		01/02/2021		31/08/2021
100	201878			B3V53KL		01/02/2021		31/08/2021
100	201878			PJP53C3		01/02/2021		31/08/2021
100	202919			84E56LA		01/02/2021		31/08/2021
100	202919			RHL56LB		01/02/2021		31/08/2021
100	202919			V8456Z7		01/02/2021		31/08/2021
100	202920			84E61LA		01/02/2021		31/08/2021
100	202920			RHL61LB		01/02/2021		31/08/2021
100	202920			V8461Z7		01/02/2021		31/08/2021
100	202921			EYR56JR		01/02/2021		31/08/2021
100	202921			GME56XW		01/02/2021		31/08/2021
100	202924			EYR51JR		01/02/2021		31/08/2021
100	202924			GME51XW		01/02/2021		31/08/2021
100	202924			RHL51LB		01/02/2021		31/08/2021
100	202927			GME61XW		01/02/2021		31/08/2021
100	202927			RHL61LB		01/02/2021		31/08/2021
100	202927			S4561JR		01/02/2021		31/08/2021
100	203242			B3V54KL		01/02/2021		31/08/2021
100	203242			PJP54C3		01/02/2021		31/08/2021
100	203242			VK654EX		01/02/2021		31/08/2021
100	203385			08A50M9		01/02/2021		31/08/2021
100	203387			08A59M9		01/02/2021		31/08/2021
100	203392			7ZJ58M9		01/02/2021		31/08/2021
100	203393			7ZJ56M9		01/02/2021		31/08/2021
100	203393			OY456C3		01/02/2021		31/08/2021
100	203397			00363UC		01/02/2021		31/08/2021
100	203397			AOZ63M9		01/02/2021		31/08/2021
100	203397			R8063WJ		01/02/2021		31/08/2021
100	203421			08657LA		01/02/2021		31/08/2021
100	203421			73357LA		01/02/2021		31/08/2021
100	203421			80757M9		01/02/2021		31/08/2021
100	203422			08655LA		01/02/2021		31/08/2021
100	203422			80755M9		01/02/2021		31/08/2021
100	203422			B3V55JR		01/02/2021		31/08/2021
100	203423			08658LA		01/02/2021		31/08/2021
100	203423			35J58JQ		01/02/2021		31/08/2021
100	203423			80758M9		01/02/2021		31/08/2021
100	203423			B3V58JR		01/02/2021		31/08/2021
100	203430			80759M9		01/02/2021		31/08/2021
100	203431			80757C3		01/02/2021		31/08/2021
100	203431			J5G57UC		01/02/2021		31/08/2021
100	203431			V8157M9		01/02/2021		31/08/2021
100	203432			00362MU		01/02/2021		31/08/2021
100	203432			6LB62UC		01/02/2021		31/08/2021
100	203432			V8162M9		01/02/2021		31/08/2021
100	204084			08A99T4		01/02/2021		31/08/2021
100	204084			7ZJ99MT		01/02/2021		31/08/2021
100	204084			OIT99AO		01/02/2021		31/08/2021
100	201877			1ED51UC		01/02/2021		31/08/2021
100	201877			PJP51C3		01/02/2021		31/08/2021
100	201878			VK653EX		01/02/2021		31/08/2021
100	203381			6LB57M9		01/02/2021		31/08/2021
100	203381			DDB57SP		01/02/2021		31/08/2021
100	203385			PJP50C3		01/02/2021		31/08/2021
100	203386			08A56M9		01/02/2021		31/08/2021
100	203386			AB856M9		01/02/2021		31/08/2021
100	203386			PJP56C3		01/02/2021		31/08/2021
100	203387			PJP59C3		01/02/2021		31/08/2021
100	203387			XLT59SP		01/02/2021		31/08/2021
100	203388			08A57M9		01/02/2021		31/08/2021
100	203393			AB856M9		01/02/2021		31/08/2021
100	203393			D51565X		01/02/2021		31/08/2021
100	203397			KJ163M9		01/02/2021		31/08/2021
100	103902			YIB5416		01/02/2021		31/08/2021
100	103908			N4Y5117		01/02/2021		31/08/2021
100	103909			8075420		01/02/2021		31/08/2021
100	103909			KB75420		01/02/2021		31/08/2021
100	103902			GPH5416		01/02/2021		31/08/2021
100	103909			RIW5420		01/02/2021		31/08/2021
100	103902			6FQ5416		01/02/2021		31/08/2021
100	103908			3U55317		01/02/2021		31/08/2021
100	103908			N4Y5317		01/02/2021		31/08/2021
100	203489			0UC49HA		01/02/2021		31/08/2021
